index,descriptors,relative_frequency
"Merlot, Cachapoal Valley, Central Valley, Chile",latex,0.03
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",blackberry,0.02
"Chardonnay, Maipo Valley, Central Valley, Chile",melon,0.02
"Sangiovese, Sierra Foothills, California, USA",dust,0.02
"Pinot Grigio, Columbia Valley, Washington, USA",lemon,0.01
"Bordeaux-style Red Blend, Western Australia, Australia",smoked_meat,0.02
"Tempranillo Blend, Tempranillo, La Rioja, Northeast Spain, Spain",lactic,0.01
"Tempranillo, La Rioja, Northeast Spain, Spain",dust,0.01
"Chardonnay, Virginia, USA",ginger,0.01
"Tempranillo, Valencia, Northeast Spain, Spain",jam,0.02
"Pinot Noir, Cote de Nuits, Burgundy, France",earth,0.01
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",gooseberry,0.02
"Pinot Noir, Willamette Valley, Oregon, USA",smoke,0.01
"Malbec, Napa Valley, North Coast, California, USA",perfumed,0.03
"Cabernet Franc, Columbia Valley, Washington, USA",vanilla,0.01
"Pinot Noir, Napa Valley, North Coast, California, USA",mushroom,0.02
"Viognier, Columbia Valley, Washington, USA",steel,0.02
"Chardonnay, New South Wales, Australia",toasted_hazelnut,0.02
"Bordeaux-style Red Blend, Entre-Deux-Mers, Bordeaux",chocolate,0.01
"Chardonnay, Beaujolais, France",steel,0.01
"Pinot Noir, Tasmania, Australia",mushroom,0.03
"Red Blends, Red Blends, Columbia Valley, Washington, USA",flower,0.01
"Garganega, Italian White, Veneto, Northeast Italy, Italy",beeswax,0.01
"Riesling, Santa Barbara, Central Coast, California, USA",lime_peel,0.02
"Chardonnay, Paso Robles, Central Coast, California, USA",yellow_flower,0.02
"Riesling, Ontario, Canada",stone_fruit,0.01
"Chardonnay, Coastal Region, South Africa",stone,0.01
"Pinot Noir, Niederosterreich, Austria",cranberry,0.02
"Chardonnay, Maconnais, Burgundy, France",peach,0.01
"Tempranillo, Mendoza, Argentina",raisin,0.02
"Petite Sirah, Sierra Foothills, California, USA",coffee,0.01
"White Blend, Umbria, Central Italy, Italy",nectar,0.01
"Nero dAvola, Italian Red, Sicily, Southern Italy, Italy",prune,0.01
"Merlot, Paso Robles, Central Coast, California, USA",berry,0.01
"Syrah, Mendoza, Argentina",bramble,0.02
"Bordeaux-style Red Blend, Bourg & Blaye, Bordeaux, France",stalky,0.01
"Nebbiolo, Lombardy, Northwest Italy, Italy",cherry,0.02
"Red Blends, Red Blends, Coteaux de Languedoc, Languedoc-Roussillon, France",toast,0.03
"Chardonnay, Marlborough, New Zealand",funky,0.01
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",stone,0.02
"Grenache, Castilla-La Mancha, Central Spain, Spain",plum,0.03
"White Blend, Galicia, Northwest Spain, Spain",lime,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",red_currant,0.01
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",olive,0.02
"Syrah, Western Australia, Australia",blackberry,0.02
"Cabernet Sauvignon, Mendocino, North Coast, California, USA",anise,0.01
"Syrah, Southern Oregon, Oregon, USA",berry,0.02
"Sauvignon Blanc, Burgenland, Austria",herb,0.03
"Merlot, Santa Barbara, Central Coast, California, USA",savory,0.03
"Zinfandel, Columbia Valley, Washington, USA",toffee,0.01
"Chardonnay, Cote de Beaune, Burgundy, France",honey,0.01
"Turbiana, Italian White, Lombardy, Northwest Italy, Italy",beeswax,0.02
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",black_currant,0.01
"Chardonnay, Cape South Coast, South Africa",tree_fruit,0.02
"Sauvignon Blanc, Columbia Valley, Washington, USA",pineapple,0.01
"Tempranillo, Navarra, Northeast Spain, Spain",stemmy,0.02
"Zinfandel, Sonoma Valley, North Coast, California, USA",flower,0.01
"Austrian white blend, White Blend, Niederosterreich, Austria",beeswax,0.02
"Syrah, Cachapoal Valley, Central Valley, Chile",juniper,0.02
"Riesling, Canterbury and Waipara, New Zealand",zest,0.03
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",berry,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",sagebrush,0.01
"Cabernet Sauvignon, Clear Lake, North Coast, California",toast,0.01
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",baking_spices,0.01
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",french_oak,0.01
"Red Blends, Red Blends, Southern Greece, Greece",tobacco,0.02
"Chardonnay, Curico Valley, Central Valley, Chile",stone,0.01
"Bordeaux-style White Blend, White Blend, Graves, Bordeaux, France",pear,0.01
"Syrah, Inland Valleys, California, USA",game,0.03
"Malbec, Mendoza, Argentina",blueberry,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",vanilla,0.01
"Syrah, Columbia Valley, Oregon, USA",orange_peel,0.01
"White Blend, Veneto, Northeast Italy, Italy",pear,0.02
"Chardonnay, Friuli-Venezia Giulia, Northeast Italy, Italy",juicy,0.02
"Pinot Noir, South Australia, Australia",vegetal,0.03
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",grapey,0.01
"Cabernet Sauvignon, Inland Valleys, California, USA",blackberry,0.01
"Red Blends, Red Blends, Sierra Foothills, California, USA",inky,0.01
"White Blend, Columbia Valley, Washington, USA",tree_fruit,0.02
"Chardonnay, Mendocino, North Coast, California, USA",tree_fruit,0.01
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",raspberry,0.02
"Red Blends, Red Blends, Coastal Region, South Africa",juicy,0.02
"Viognier, Mendoza, Argentina",celery,0.03
"Cabernet Franc, Finger Lakes, New York, USA",toast,0.01
"Cabernet Franc, Anjou-Saumar, Loire Valley, France",blackberry,0.01
"Merlot, Southern Oregon, Oregon, USA",sappy,0.01
"Red Blends, Red Blends, Mendoza, Argentina",savory,0.01
"Riesling, Marlborough, New Zealand",fruit-forward,0.01
"Riesling, Central Otago, New Zealand",stone,0.03
"Pinot Noir, Champagne, France",oak,0.01
"Syrah, Northern Rhone, Rhone Valley, France",violet,0.01
"Chardonnay, Napa Valley, North Coast, California, USA",toast,0.01
"Red Blends, Red Blends, Thracian Valley, Bulgaria",eucalyptus,0.03
"Chardonnay, Galilee, Israel",hay,0.02
"Syrah, Galilee, Israel",licorice,0.02
"Grenache, Paso Robles, Central Coast, California, USA",baking_spices,0.01
"Red Blends, Red Blends, South Australia, Australia",rubber,0.01
"Bordeaux-style Red Blend, Maipo Valley, Central Valley, Chile",pepper,0.02
"Chardonnay, Willamette Valley, Oregon, USA",pineapple,0.01
"Red Blends, Red Blends, Galilee, Israel",ripe,0.01
"Pinot Noir, Cote Chalonnaise, Burgundy, France",plum,0.01
"Pinot Noir, Maule Valley, Central Valley, Chile",perfumed,0.03
"Pinot Noir, Columbia Valley, Oregon, USA",black_tea,0.02
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",herb,0.01
"Friulano, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",french_oak,0.01
"Grenache, Southern Rhone, Rhone Valley, France",leafy,0.03
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",chocolate,0.01
"Petite Sirah, Inland Valleys, California, USA",funky,0.02
"Red Blends, Red Blends, San Francisco Bay, Central Coast, California, USA",dark_fruit,0.01
"Merlot, Tuscany, Central Italy, Italy",mint,0.01
"Pinot Noir, Burgenland, Austria",elderberry,0.02
"Cabernet Franc, Long Island, New York, USA",tobacco,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",jasmine,0.01
"Malbec, Salta, Argentina",graham_cracker,0.01
"White Blend, Castilla-La Mancha, Central Spain, Spain",pastry,0.03
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",graphite,0.02
"Chardonnay, San Francisco Bay, Central Coast, California, USA",tree_fruit,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",tobacco,0.01
"Riesling, Michigan, USA",tree_fruit,0.03
"Sauvignon Blanc, Finger Lakes, New York, USA",herbacious,0.02
"White Blend, Macedonia, Greece",apple,0.02
"Malbec, Southwest France, France",toast,0.01
"Syrah, San Luis Obispo, Central Coast, California, USA",potpourri,0.02
"Pinot Noir, Mendocino, North Coast, California, USA",rhubarb,0.01
"Verdicchio, Italian White, Le Marche, Central Italy, Italy",stone,0.02
"Pinot Noir, San Benito, Central Coast, California, USA",sandalwood,0.02
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",cola,0.01
"Gruner Veltliner, Finger Lakes, New York, USA",tangerine_peel,0.03
"Cabernet Franc, Virginia, USA",underripe,0.01
"Viognier, Sonoma Valley, North Coast, California, USA",peach,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",wet_rocks,0.02
"White Blend, Sierra Foothills, California, USA",juicy,0.03
"Merlot, Long Island, New York, USA",super_ripe,0.02
"Syrah, Casablanca Valley, Aconcagua Region, Chile",lactic,0.03
"White Blend, Long Island, New York, USA",corn,0.03
"Gruner Veltliner, Burgenland, Austria",passion_fruit,0.01
"White Blend, Coastal Region, South Africa",grass,0.02
"Grenache, Sonoma Valley, North Coast, California, USA",pepper,0.02
"Tempranillo, Columbia Valley, Washington, USA",funky,0.02
"Negroamaro, Italian Red, Puglia, Southern Italy, Italy",forest_floor,0.02
"Syrah, Columbia Valley, Washington, USA",olive,0.01
"Chardonnay, Mendoza, Argentina",tree_fruit,0.01
"Malbec, Sonoma Valley, North Coast, California, USA",forest_floor,0.03
"Syrah, Coastal Region, South Africa",cedar,0.01
"Cabernet Franc, Touraine, Loire Valley, France",raspberry,0.01
"Cabernet Sauvignon, Columbia Valley, Washington, USA",baking_spices,0.01
"Pinot Noir, Bio-Bio Valley, South Region, Chile",citrus,0.02
"Bordeaux-style Red Blend, South Australia, Australia",chocolate,0.02
"Petite Sirah, Napa Valley, North Coast, California, USA",grapey,0.01
"Sauvignon Blanc, Monterey, Central Coast, California, USA",hay,0.02
"Syrah, Monterey, Central Coast, California, USA",coffee,0.02
"White Blend, Niederosterreich, Austria",spice,0.03
"Cannonau, Grenache, Sardinia, Southern Italy, Italy",resin,0.02
"Merlot, Finger Lakes, New York, USA",wood,0.02
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",cola,0.02
"Sauvignon Blanc, Clear Lake, North Coast, California",pineapple,0.02
"Red Blends, Red Blends, Provence, France",grapey,0.02
"Cabernet Sauvignon-Syrah, Red Blends, Columbia Valley, Washington, USA",toast,0.02
"Riesling, Nahe, Germany",rocks,0.01
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",prune_raisin,0.01
"Pinot Grigio, Alsace, France",currant,0.01
"Cabernet Franc, Southern Oregon, Oregon, USA",prune,0.02
"Grenache, South Australia, Australia",lactic,0.01
"Chardonnay, Breede River Valley",orange,0.02
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",mint,0.01
"Syrah, Napa Valley, North Coast, California, USA",french_oak,0.01
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",cut_grass,0.02
"Vernaccia, Italian White, Tuscany, Central Italy, Italy",wild_flower,0.01
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",gooseberry,0.02
"Bordeaux-style Red Blend, Mendoza, Argentina",dust,0.02
"Bordeaux-style Red Blend, Coastal Region, South Africa",raspberry,0.02
"Malbec, Colchagua Valley, Central Valley, Chile",inky,0.02
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",lemon,0.01
"Petite Sirah, Columbia Valley, Washington, USA",jam,0.02
"Syrah, Sonoma Valley, North Coast, California, USA",berry,0.01
"Syrah, Tuscany, Central Italy, Italy",oak,0.02
"Sauvignon Blanc, Touraine, Loire Valley, France",apple,0.01
"Nebbiolo, Piedmont, Northwest Italy, Italy",coffee,0.02
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",jam,0.02
"Red Blends, Red Blends, Alentejo, Portugal",barnyard,0.02
"Red Blends, Red Blends, Umbria, Central Italy, Italy",juicy,0.01
"Red Blends, Red Blends, Clear Lake, North Coast, California",caramel,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",black_cherry,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",vanilla,0.01
"Red Blends, Red Blends, Burgenland, Austria",pepper,0.01
"Malbec, Southern Oregon, Oregon, USA",tar,0.02
"Sauvignon Blanc, Long Island, New York, USA",melon,0.02
"Merlot, Colchagua Valley, Central Valley, Chile",mint,0.02
"Sauvignon Blanc, Centre, Loire Valley, France",wood_age,0.01
"Pinot Noir, Southern Oregon, Oregon, USA",bramble,0.01
"Viognier, Sierra Foothills, California, USA",pear,0.02
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",basil,0.01
"Red Blends, Red Blends, Campania, Southern Italy, Italy",fig,0.03
"Riesling, Mendocino, North Coast, California, USA",stone,0.03
"Pinot Grigio, Central Otago, New Zealand",rubber,0.03
"Cabernet Sauvignon-Malbec, Bordeaux-style Red Blend, Mendoza, Argentina",violet_rose,0.03
"Viognier, Paso Robles, Central Coast, California, USA",steel,0.02
"Riesling, Mosel, Germany",apricot,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",fruit-forward,0.01
"Cabernet Sauvignon, South Coast, California, USA",fruit-forward,0.02
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",raspberry,0.02
"Pinot Grigio, Willamette Valley, Oregon, USA",concrete,0.01
"Petite Sirah, Clear Lake, North Coast, California",dust,0.03
"Red Blends, Red Blends, Macedonia, Greece",lemon,0.02
"Sauvignon Blanc, San Antonio Valley, Aconcagua, Chile",grapefruit,0.02
"Viognier, Northern Rhone, Rhone Valley, France",smoke,0.01
"Cabernet Sauvignon, Mendoza, Argentina",wood,0.02
"Merlot, Maule Valley, Central Valley, Chile",lemon,0.01
"Pinot Noir, Centre, Loire Valley, France",red_currant,0.01
"Chardonnay, Hawkes Bay, New Zealand",cashew,0.01
"Pinot Grigio, Southern Oregon, Oregon, USA",berry,0.01
"Malbec, Columbia Valley, Washington, USA",cranberry,0.01
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",nut,0.01
"Chardonnay, Inland Valleys, California, USA",almond,0.01
"Merlot, Columbia Valley, Washington, USA",smoke,0.01
"Shiraz-Viognier, South Australia, Australia",camphor,0.02
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",passion_fruit,0.01
"Red Blends, Red Blends, Le Marche, Central Italy, Italy",sorbet,0.02
"Sauvignon Blanc, South Australia, Australia",struck_flint,0.02
"Cabernet Sauvignon, South Australia, Australia",red_currant,0.01
"Riesling, Finger Lakes, New York, USA",herb,0.02
"Grenache, Columbia Valley, Washington, USA",funky,0.02
"Malbec, San Juan, Argentina",forest_floor,0.01
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",botrytis,0.02
"Tempranillo, Southern Oregon, Oregon, USA",cranberry,0.02
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",toast,0.02
"Chardonnay, Champagne, France",tropical_fruit,0.01
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",cranberry,0.01
"Sauvignon Blanc-Semillon, White Blend, Western Australia, Australia",nettle,0.02
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",boysenberry,0.02
"Grenache, Catalunya, Northeast Spain, Spain",medicinal,0.02
"Viognier, South Australia, Australia",peach,0.03
"Riesling, Columbia Valley, Washington, USA",grapefruit,0.01
"Cabernet Sauvignon, Long Island, New York, USA",red_fruit,0.02
"Tempranillo Blend, Tempranillo, Navarra, Northeast Spain, Spain",jam,0.03
"Viognier, Southern Oregon, Oregon, USA",apricot,0.01
"Pinot Grigio, Veneto, Northeast Italy, Italy",ripe,0.01
"Ribolla Gialla, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",jasmine,0.03
"Riesling, South Australia, Australia",perfumed,0.01
"Tokaji, White Blend, Tokaj, Hungary",lavender,0.03
"Merlot, San Francisco Bay, Central Coast, California, USA",pepper,0.02
"Zinfandel, Napa Valley, North Coast, California, USA",toast,0.02
"Pinot Grigio, Finger Lakes, New York, USA",tropical_fruit,0.01
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",wild_berry,0.01
"Chardonnay, Lombardy, Northwest Italy, Italy",orange_blossom,0.02
"Syrah, Sierra Foothills, California, USA",sage,0.01
"Chardonnay, San Antonio, Aconcagua Region, Chile",lees,0.02
"Bordeaux-style White Blend, White Blend, Columbia Valley, Washington, USA",kiwi,0.03
"Grillo, Italian White, Sicily, Southern Italy, Italy",lime,0.02
"SpÃ¤tburgunder, Pinot Noir, Baden, Germany",plum,0.03
"Cabernet Franc, Sierra Foothills, California, USA",savory,0.02
"Chardonnay, Maule Valley, Central Valley, Chile",vegetal,0.02
"Chardonnay, Cote Chalonnaise, Burgundy, France",white_fruit,0.01
"Syrah, Paso Robles, Central Coast, California, USA",pepper,0.01
"Syrah, Mendocino, North Coast, California, USA",violet,0.02
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",red_currant,0.01
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",lemongrass,0.03
"Aglianico, Italian Red, Basilicata, Southern Italy, Italy",funky,0.01
"Provence red blend, Red Blends, Provence, France",chalk,0.01
"Chardonnay, Burgenland, Austria",oil,0.01
"Sangiovese, Columbia Valley, Washington, USA",new_oak,0.01
"Sauvignon Blanc, Wairarapa, New Zealand",tropical_fruit,0.02
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",candy,0.01
"Sauvignon Blanc, Marlborough, New Zealand",oak,0.01
"Cabernet Sauvignon, Catalunya, Northeast Spain, Spain",juicy,0.02
"White Blend, Burgenland, Austria",orange,0.02
"Zinfandel, Sierra Foothills, California, USA",plum,0.01
"Riesling, Rheingau, Germany",wax,0.01
"Greco, Italian White, Campania, Southern Italy, Italy",pineapple,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",coffee,0.01
"Pinot Noir, Columbia Valley, Washington, USA",lemongrass,0.02
"Red Blends, Red Blends, Sardinia, Southern Italy, Italy",cheese,0.02
"Pinot Noir, Marlborough, New Zealand",candy,0.01
"Cabernet Sauvignon, Western Australia, Australia",juicy,0.01
"Red Blends, Red Blends, Niederosterreich, Austria",licorice,0.02
"Gruner Veltliner, Niederosterreich, Austria",moss,0.01
"Pinot Noir, Central Otago, New Zealand",savory,0.01
"Pinot Noir, Finger Lakes, New York, USA",earth,0.01
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",cedar,0.01
"Alsace white blend, White Blend, Alsace, France",orange_peel,0.02
"Chardonnay, Trento, Northeast Italy, Italy",lees,0.02
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",white_fruit,0.01
"Austrian Red Blend, Red Blends, Burgenland, Austria",strawberry,0.01
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",oak,0.01
"Chardonnay, Columbia Valley, Washington, USA",new_oak,0.01
"Merlot, Inland Valleys, California, USA",ripe,0.02
"Bordeaux-style White Blend, White Blend, Sauternais, Bordeaux, France",orange_peel,0.00
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",candy,0.02
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",jam,0.02
"Viognier, Virginia, USA",oily,0.02
"Shiraz-Cabernet Sauvignon, Red Blends, South Australia, Australia",lemon,0.03
"Pinot Noir, Alsace, France",juicy,0.01
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",jam,0.02
